,births_2020_21,deaths_2020_21,state_name_2016,,,
,136,89,New South Wales,,,
,144,104,New South Wales,,,
,93,111,New South Wales,,,
,98,57,New South Wales,,,
,143,90,New South Wales,,,
,240,249,New South Wales,,,
,145,194,New South Wales,,,
,229,95,New South Wales,,,
,27,13,New South Wales,,,
,69,94,New South Wales,,,
,30,25,New South Wales,,,
,79,138,New South Wales,,,
,323,152,New South Wales,,,
,166,81,New South Wales,,,
,153,95,New South Wales,,,
,88,78,New South Wales,,,
,207,99,New South Wales,,,
,53,66,New South Wales,,,
,0,0,New South Wales,,,
,41,32,New South Wales,,,
,139,41,New South Wales,,,
,88,17,New South Wales,,,
,48,74,New South Wales,,,
,39,12,New South Wales,,,
,155,207,New South Wales,,,
,178,125,New South Wales,,,
,176,137,New South Wales,,,
,43,30,New South Wales,,,
,333,230,New South Wales,,,
,182,199,New South Wales,,,
,74,228,New South Wales,,,
,248,168,New South Wales,,,
,164,65,New South Wales,,,
,53,30,Victoria,,,
,31,77,New South Wales,,,
,82,40,New South Wales,,,
,49,40,Victoria,,,
,81,60,New South Wales,,,
,97,31,New South Wales,,,
,40,16,New South Wales,,,
,95,87,New South Wales,,,
,263,104,New South Wales,,,
,628,82,New South Wales,,,
,335,100,New South Wales,,,
,361,112,New South Wales,,,
,157,56,New South Wales,,,
,263,179,Victoria,,,
,304,98,New South Wales,,,
,250,135,New South Wales,,,
,307,153,New South Wales,,,
,352,115,New South Wales,,,
,66,40,Victoria,,,
,355,80,New South Wales,,,
,1280,90,New South Wales,,,
,46,12,New South Wales,,,
,377,90,New South Wales,,,
,82,56,Victoria,,,
,305,89,New South Wales,,,
,107,41,New South Wales,,,
,272,83,New South Wales,,,
,248,165,Victoria,,,
,414,114,New South Wales,,,
,360,100,New South Wales,,,
,0,0,New South Wales,,,
,324,202,New South Wales,,,
,9,0,New South Wales,,,
,196,60,New South Wales,,,
,411,109,New South Wales,,,
,204,76,New South Wales,,,
,0,0,Victoria,,,
,0,0,New South Wales,,,
,0,0,New South Wales,,,
,266,34,New South Wales,,,
,306,167,New South Wales,,,
,197,77,New South Wales,,,
,120,26,New South Wales,,,
,101,52,New South Wales,,,
,231,69,New South Wales,,,
,231,47,New South Wales,,,
,157,138,New South Wales,,,
,177,219,Victoria,,,
,214,31,New South Wales,,,
,176,86,New South Wales,,,
,116,94,New South Wales,,,
,113,53,New South Wales,,,
,216,55,New South Wales,,,
,598,116,New South Wales,,,
,310,68,New South Wales,,,
,348,75,New South Wales,,,
,119,54,New South Wales,,,
,236,139,New South Wales,,,
,0,0,New South Wales,,,
,122,50,New South Wales,,,
,70,57,Victoria,,,
,299,137,New South Wales,,,
,196,59,New South Wales,,,
,126,93,New South Wales,,,
,81,40,New South Wales,,,
,340,103,New South Wales,,,
,102,77,New South Wales,,,
,147,58,New South Wales,,,
,122,47,New South Wales,,,
,236,136,New South Wales,,,
,0,0,Victoria,,,
,171,74,New South Wales,,,
,338,208,New South Wales,,,
,28,0,New South Wales,,,
,345,113,New South Wales,,,
,206,53,New South Wales,,,
,413,163,New South Wales,,,
,209,146,New South Wales,,,
,187,138,New South Wales,,,
,318,123,New South Wales,,,
,320,102,New South Wales,,,
,323,56,New South Wales,,,
,279,95,New South Wales,,,
,211,28,New South Wales,,,
,272,110,New South Wales,,,
,402,161,New South Wales,,,
,188,84,New South Wales,,,
,74,135,Victoria,,,
,242,169,New South Wales,,,
,302,95,New South Wales,,,
,240,103,New South Wales,,,
,264,131,New South Wales,,,
,134,114,New South Wales,,,
,100,75,New South Wales,,,
,164,86,New South Wales,,,
,206,187,New South Wales,,,
,119,73,New South Wales,,,
,256,128,New South Wales,,,
,400,125,New South Wales,,,
,356,272,New South Wales,,,
,365,131,New South Wales,,,
,135,75,New South Wales,,,
,197,84,New South Wales,,,
,163,53,New South Wales,,,
,160,88,New South Wales,,,
,288,109,New South Wales,,,
,199,122,New South Wales,,,
,40,73,Victoria,,,
,202,104,New South Wales,,,
,225,159,New South Wales,,,
,297,65,New South Wales,,,
,202,67,New South Wales,,,
,33,83,Victoria,,,
,229,126,New South Wales,,,
,270,226,New South Wales,,,
,73,88,Victoria,,,
,280,161,New South Wales,,,
,251,137,New South Wales,,,
,236,77,New South Wales,,,
,198,63,New South Wales,,,
,238,72,New South Wales,,,
,120,103,New South Wales,,,
,323,33,New South Wales,,,
,182,128,New South Wales,,,
,0,0,Victoria,,,
,96,82,Victoria,,,
,39,14,New South Wales,,,
,279,133,New South Wales,,,
,286,79,New South Wales,,,
,86,116,Victoria,,,
,354,141,New South Wales,,,
,192,25,New South Wales,,,
,196,177,New South Wales,,,
,233,68,New South Wales,,,
,90,42,New South Wales,,,
,287,108,New South Wales,,,
,159,145,New South Wales,,,
,179,36,New South Wales,,,
,286,110,New South Wales,,,
,78,66,New South Wales,,,
,140,111,New South Wales,,,
,115,24,New South Wales,,,
,43,34,New South Wales,,,
,103,132,Victoria,,,
,153,115,New South Wales,,,
,0,0,Victoria,,,
,206,106,New South Wales,,,
,219,99,New South Wales,,,
,207,256,Victoria,,,
,112,55,New South Wales,,,
,149,34,New South Wales,,,
,123,107,New South Wales,,,
,144,210,New South Wales,,,
,122,144,New South Wales,,,
,97,88,New South Wales,,,
,85,75,New South Wales,,,
